q		だ
っぽぷs	ぬぐへ
っぽぷf	ぬぐぱ
ぬぐf		っぽぼ
っぽぼe	ぬぐぶ
っぽぼs	ぬぐぐ
っc		づ
づe		っしぇ
っしぇe		づぷ
づぷs		っしぇへ
っしぇへe	づぷぷ
っしぇへf	づぷぼ
づぷf		っしぇぱ
っしぇぱe	づぷぶ
っしぇぱs	づぷぐ
っしぇf		づぼ
づぼe		っしぇぶ
っしぇぶs	づぼへ
っしぇぶf	づぼぱ
づぼs		っしぇぐ
っしぇぐe	づぼぷ
っしぇぐf	づぼぼ
づs		っぺ
っぺe		づぶ
づぶs		っぺへ
っぺへe	づぶぷ
っぺへf	づぶぼ
づぶf		っぺぱ
っぺぱe	づぶぶ
っぺぱs	づぶぐ
っぺs		づぐ
づぐe		っぺぷ
っぺぷs	づぐへ
っぺぷf	づぐぱ
づぐf		っぺぼ
っぺぼe	づぐぶ
っぺぼs	づぐぐ
っv		ぎ
ぎe	ぎ	ゃ
ぎs	ぎ	ょ
ぎf	ぎ	ゅ
っm		ぢ
ぢe	ぢ	ゃ
ぢs	ぢ	ょ
ぢf	ぢ	ゅ
っ,	ヴ
ゃs		へ
へe		ゃぷ
ゃぷs	へへ
ゃぷf	へぱ
へf		ゃぼ
ゃぼe	へぶ
ゃぼs	へぐ
ゃf		ぱ
ぱe		ゃぶ
ゃぶs	ぱへ
ゃぶf	ぱぱ
ぱs		ゃぐ
ゃぐe	ぱぷ
ゃぐf	ぱぼ
ょe		ぷ
ぷs		ょへ
ょへe	ぷぷ
ょへf	ぷぼ
ぷf		ょぱ
ょぱe	ぷぶ
ょぱs	ぷぐ
ょf		ぼ
ぼe		ょぶ
ょぶs	ぼへ
ょぶf	ぼぱ
ぼs		ょぐ
ょぐe	ぼぷ
ょぐf	ぼぼ
ゅe		ぶ
ぶs		ゅへ
ゅへe	ぶぷ
ゅへf	ぶぼ
ぶf		ゅぱ
ゅぱe	ぶぶ
ゅぱs	ぶぐ
ゅs		ぐ
ぐe		ゅぷ
ゅぷs	ぐへ
ゅぷf	ぐぱ
ぐf		ゅぼ
ゅぼe	ぐぶ
ゅぼs	ぐぐ
